Model,F1,p50_ms,p95_ms,p99_ms,throughput_sps,VRAM peak (MB),Params (M)
BERTimbau FT,,5.72,8.572,11.076,178.902,745.046,13.587
Ens3 (CNN+LSTM+ConvLSTM),0.961,7.357,12.295,13.657,141.006,745.046,1.78
