Model,Accuracy_mean,Accuracy_std,Accuracy,Precision_mean,Precision_std,Precision,Recall_mean,Recall_std,Recall,F1_mean,F1_std,F1,Inference (ms)_mean,Inference (ms)_std,Inference (ms),VRAM peak (MB)_mean,VRAM peak (MB)_std,VRAM peak (MB),Params (M),seeds
bert-large-portuguese-cased,0.9606532327380384,0.0013506002887719846,0.9606532327380384,0.9606563060228619,0.0013481772598794618,0.9606563060228619,0.9606544895234905,0.0013471737275755756,0.9606544895234905,0.9606531216595688,0.0013504478785818321,0.9606531216595688,5.897275618934868,0.0014245481842784162,5.897275618934868,4817.507328,0.13902285003566378,4817.507328,334,"[42, 7]"
xlm-roberta-base,0.9452296819787986,0.0012830702743332834,0.9452296819787986,0.9462298642637972,0.0014061061264124578,0.9462298642637972,0.9451873050236097,0.0012805012428196779,0.9451873050236097,0.9451952293998263,0.0012799792079411822,0.9451952293998263,1.5556452188026415,0.001647120253351116,1.5556452188026415,4034.902016,4.506657388651277,4034.902016,278,"[42, 7]"
mdeberta-v3-base,0.9170566326043358,0.0039842708518771745,0.9170566326043358,0.9194066353646134,0.00455955078458464,0.9194066353646134,0.9169893821207084,0.003976319130019826,0.9169893821207084,0.9169319283665759,0.003962010058927009,0.9169319283665759,2.254799015484889,0.0026638933513016406,2.254799015484889,7671.901184,3.5617364548164714,7671.901184,278,"[42, 7]"
