Quartil_conf,Faixa,N,Erros,Taxa erro,Acc
Q1 (baixa),0.000–0.911,2618,368,0.1406,0.8594
Q2,0.911–0.938,2617,31,0.0118,0.9882
Q3,0.938–0.947,2618,4,0.0015,0.9985
Q4 (alta),0.947–1.000,2618,3,0.0011,0.9989
