model,Accuracy,Precision,Recall,F1,N
Ens2 (CNN+LSTM) [Fake.br->Main],0.6887,0.6895,0.6886,0.6883,10471
BERTimbau FT [Fake.br->Main],0.68,0.6867,0.6801,0.6772,10471
