Ano,N,Erros,Taxa erro,Acc,F1
2014,48,4,0.0833,0.9167,0.4783
2015,34,0,0.0,1.0,1.0
2016,101,1,0.0099,0.9901,0.4975
2017,265,17,0.0642,0.9358,0.4834
2018,384,10,0.026,0.974,0.4934
2019,495,18,0.0364,0.9636,0.6692
2020,2584,101,0.0391,0.9609,0.9476
2021,2307,99,0.0429,0.9571,0.9392
2022,663,32,0.0483,0.9517,0.8093
2023,350,14,0.04,0.96,0.4898
