Accuracy,Precision,Recall,F1,N,model,polarity_alert,polarity_acc_direct,polarity_acc_flipped
0.7,0.7114002132271287,0.7,0.695900190187525,7200,Ens3 → Fake.br,False,0.7,0.3
0.9781964234484077,0.9782091527083829,0.9781974953883952,0.9781963105027116,52285,Ens3 → Extrativa,False,0.9781964234484077,0.021803576551592235
0.6915277777777777,0.7137601716281813,0.6915277777777777,0.6832928982781635,7200,BERTimbau FT → Fake.br,False,0.6915277777777777,0.3084722222222222
0.9829396576455962,0.9829820340883088,0.9829415753529276,0.98293933037061,52285,BERTimbau FT → Extrativa,False,0.9829396576455962,0.0170603423544037
