Ano,N,Erros,Taxa erro,Acc,F1
2014,35,0,0.0,1.0,1.0
2015,24,0,0.0,1.0,1.0
2016,93,0,0.0,1.0,1.0
2017,258,2,0.0078,0.9922,0.4981
2018,400,6,0.015,0.985,0.4962
2019,488,7,0.0143,0.9857,0.763
2020,2608,51,0.0196,0.9804,0.9744
2021,2311,42,0.0182,0.9818,0.9734
2022,675,6,0.0089,0.9911,0.9522
2023,353,1,0.0028,0.9972,0.4993
